Bauman Syd "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Validating @selector: a regular expression adventure" "TEI | CSS3 | selector | regular expression (regexp) | rendition"
Benito Alejandro "University of Salamanca" "Analyzing and Visualizing Uncertain Knowledge: Introducing the PROVIDEDH Open Science Platform" "collaborative TEI editor | uncertainty visualization | uncertainty annotation | open science | progressive visualization"
Bowers Jack "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Native-TEI dialectal dictionary for Bavarian dialects in Austria: data structure, software and workflow" "Dictionaries | Dialectology | Bavarian | TEI editing tool"
Burnard Lou "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "In search of comity: TEI for distant reading" "distant reading | ELTeC | ODD chaining | corpus design | the European novel | literary studies"
Ciotti Fabio "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "A realistic theory of textuality and its consequences on digital text representation" "Theory of text | theory of text encoding | ontology of textuality"
Cole Nicholas "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "TEI XML and Delta Format Interchangeability" "JavaScript | XML | collaborative editing | annotation | processing"
Creamer Andrew "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Archiving a TEI project FAIRly" "Judaic Studies | digital repositories | FAIR principles | digital epigraphy"
Cugliana Elisa "Università Ca’ Foscari Venezia, Dipartimento
							di Studi Linguistici e Culturali Comparati" "A sign of the times: medieval punctuation, its encoding and its rendition in modern times" "punctuation | normalization"
Cummings James "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Introducing Objectification: when is an <object> a <place>?" "Object Description | Objects | Places | Manuscript Description"
Cummings James "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Highlighting Our Examples: encoding XML examples in pedagogical contexts" "TEI XML | TEI ODD | Pedagogy | Processing | Teaching"
Daengeli Peter "Cologne Center for
                     eHumanities" "Referencing annotations as a core concept of the hallerNet edition and research platform" "publication platform | annotations | models of text | data analysis"
Diehr Franziska "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
